"depth","time"
"-0.09","0.0001"
"-0.34","0.7286"
"-5.08","0.8348"
"-2.22","0.9462"
"-0.88","1.0604"
"-5.04","1.197"
"-0.49","1.301"
"-1.94","1.4102"
"-4.33","1.5149"
"-0.09","1.6189"
"-5.09","1.723"
"-2.02","1.8319"
"-0.93","1.9376"
"-5.04","2.0498"
"-0.1","2.1555"
"-5.07","2.2865"
"-0.77","2.3935"
"-1.23","2.4976"
"-4.63","2.6014"
"-0.08","2.7081"
"-5.08","2.8156"
"-1.42","2.9197"
"-0.97","3.0265"
"-5.06","3.1323"
"-0.09","3.241"
"-3.66","3.3457"
"-2.45","3.4481"
"-0.1","3.5525"
"-5.08","3.6553"
"-0.78","3.7584"
"-1.39","3.8673"
"-4.2","3.9783"
"-0.09","4.0881"
"-5.09","4.1972"
"-0.39","4.3101"
"-2.03","4.4413"
"-4.18","4.5474"
"-0.09","4.6514"
"-4.16","4.7557"
"-2.25","4.8616"
"-0.1","4.9678"
"-5.08","5.0724"
"-1.16","5.1791"
"-2.66","5.3922"
"-0.24","5.5372"
"-5.09","5.6445"
"-0.6","5.7551"
"-1.53","5.8631"
"-4.62","5.9679"
"-0.09","6.0792"
"-4.43","6.1838"
"-1.78","6.2952"
"-2.1","6.3997"
"-3.22","6.5432"
"-0.14","6.6543"
"-5.06","6.7682"
"-0.09","6.8817"
"-3.16","6.9933"
"-2.7","7.1048"
"-0.3","7.2159"
"-3.85","7.3288"
"-1.23","7.4808"
"-4.9","7.6288"
"-0.09","7.7359"
"-4.48","7.8402"
"-2.1","7.9473"
"-0.51","8.0521"
"-5.06","8.1563"
"-0.09","8.2698"
"-4.67","8.3832"
"-0.56","8.4955"
"-2.04","8.6421"
"-3.66","8.7488"
"-0.2","8.8587"
"-5.08","8.963"
"-0.41","9.0735"
"-2.59","9.1876"
"-3.11","9.2987"
"-0.12","9.408"
"-5.04","9.5217"
"-0.08","9.6581"
"-3.22","9.7644"
"-2.62","9.8723"
"-0.25","9.9866"
"-5.08","10.1018"
"-0.27","10.2162"
"-1.85","10.3249"
"-4.58","10.4349"
"-0.39","10.547"
"-5.07","10.6899"
"-0.7","10.7978"
"-1.62","10.9075"
"-4.7","11.0118"
"-0.09","11.1211"
"-4.71","11.2281"
"-2.28","11.333"
"-0.3","11.4376"
"-5.08","11.5445"
"-0.09","11.6523"
"-4.47","11.7923"
"-2.54","11.9041"
"-0.25","12.0117"
"-5.08","12.1208"
"-0.66","12.2277"
"-2.03","12.3391"
"-4.22","12.4505"
"-0.23","12.5586"
"-5.09","12.6649"
"-0.09","12.8066"
"-2.24","12.9134"
"-3.54","13.0195"
"-0.09","13.124"
"-5.08","13.2284"
"-1.65","13.3341"
"-0.63","13.4386"
"-5.03","13.5462"
"-0.09","13.6505"
"-4.9","13.7595"
"-1.52","13.89"
"-4.56","14.1183"
"-0.09","14.2296"
"-5.07","14.3412"
"-1.48","14.4492"
"-1.19","14.5549"
"-5.05","14.6668"
"-0.1","14.7782"
"-5.08","14.9199"
"-0.21","15.035"
"-3.92","15.1625"
"-2.2","15.2752"
"-0.71","15.3845"
"-5.07","15.493"
"-0.83","15.5973"
"-1.55","15.7015"
"-2.81","15.8086"
"-0.27","15.9374"
"-5.07","16.0427"
"-0.62","16.1493"
"-1.79","16.2537"
"-4.07","16.3638"
"-0.32","16.4742"
"-5.07","16.5855"
"-0.7","16.6932"
"-2.27","16.8004"
"-1.31","16.9116"
"-1.19","17.0504"
"-4.97","17.1545"
"-0.09","17.2588"
"-4.06","17.3631"
"-2.14","17.4697"
"-0.47","17.5741"
"-5.04","17.6812"
"-0.09","17.7927"
"-2.94","17.9008"
"-0.29","18.0111"
"-2.64","18.1642"
"-3.27","18.2714"
"-0.38","18.3821"
"-5.06","18.4867"
"-0.45","18.5926"
"-2.13","18.6971"
"-4.16","18.8061"
"-0.13","18.9102"
"-5.06","19.0166"
"-0.08","19.158"
"-4.9","19.2657"
"-2.21","19.3701"
"-1.5","19.482"
"-4.98","19.5934"
"-0.12","19.7044"
"-5.08","19.8121"
"-3.36","19.9163"
"-3.42","20.0256"
"-4.19","20.2308"
"-1.74","20.3369"
"-0.09","20.4483"
"-1.95","20.5597"
"-5.08","20.6639"
"-1.71","20.7702"
"-0.19","20.8748"
"-5.09","20.9835"
"-3.06","21.0909"
"-0.09","21.2404"
"-1.75","21.3482"
"-5.08","21.4601"
"-2.05","21.5642"
"-0.09","21.6755"
"-1.84","21.7826"
"-5.03","21.8869"
"-1.95","21.997"
"-0.51","22.1014"
"-5.02","22.2522"
"-3.94","22.3583"
"-0.09","22.473"
"-1.5","22.5832"
"-5.06","22.6945"
"-1.89","22.7986"
"-0.09","22.9095"
"-2.3","23.0206"
"-4.59","23.1248"
"-0.08","23.2788"
"-0.75","23.388"
"-5.07","23.499"
"-4.12","23.6035"
"-0.09","23.7151"
"-0.67","23.8239"
"-3.1","23.9345"
"-5.03","24.0388"
"-0.1","24.1488"
"-0.61","24.2945"
"-4.39","24.4072"
"-4.96","24.5114"
"-0.92","24.6218"
"-0.1","24.7262"
"-2.17","24.8372"
"-5.07","24.9415"
"-2.38","25.0655"
"-0.09","25.1773"
"-2.12","25.3066"
"-5.09","25.416"
"-2.21","25.521"
"-0.09","25.6338"
"-1.47","25.748"
"-5.01","25.8561"
"-3.74","25.9668"
"-0.27","26.0758"
"-0.68","26.1845"
"-3.76","26.3108"
"-4.92","26.4169"
"-1.12","26.5321"
"-0.1","26.642"
"-2.49","26.756"
"-5.02","26.868"
"-1.96","26.9838"
"-0.09","27.097"
"-1.63","27.2083"
"-5.04","27.3356"
"-3.67","27.4423"
"-0.09","27.5468"
"-0.28","27.6575"
"-3.21","27.7713"
"-5.08","27.8821"
"-1.64","27.9935"
"-0.08","28.1076"
"-1.96","28.216"
"-5.05","28.3436"
"-3.06","28.4552"
"-0.09","28.5654"
"-0.37","28.6696"
"-2.67","28.7738"
"-5.08","28.8799"
"-2.21","28.9844"
"-0.09","29.094"
"-1.15","29.2072"
"-5.11","29.3184"
"-2.67","29.472"
"-0.09","29.5794"
"-0.83","29.6836"
"-4.44","29.7901"
"-4.88","29.9012"
"-0.8","30.0126"
"-0.18","30.1292"
"-2.7","30.2335"
"-5.05","30.338"
"-1","30.482"
"-0.1","30.5964"
"-2.38","30.7068"
"-5.06","30.818"
"-2.67","30.9221"
"-0.09","31.0329"
"-1.23","31.1372"
"-5.09","31.2478"
"-3.17","31.3538"
"-0.09","31.4842"
"-0.69","31.5901"
"-3.59","31.7024"
"-4.97","31.8095"
"-0.97","31.9211"
"-0.13","32.0325"
"-2.52","32.1457"
"-5.04","32.2548"
"-1.73","32.359"
"-0.09","32.5026"
"-2.14","32.6153"
