Time,Depth
1072120,12
1072140,19
1072160,25
1072180,33
1072200,41
1072220,48
1072240,52
1072260,54
1072320,52
1072340,45
1072360,37
1072380,29
1072400,21
1072420,13
1072440,8
1072460,4
1072480,1
1072600,6
1072620,11
1072640,17
1072660,24
1072680,32
1072700,42
1072720,50
1072740,55
1072760,58
1072820,55
1072840,50
1072860,42
1072880,33
1072900,24
1072920,17
1072940,10
1072960,6
1072980,3
1073000,1
1073080,3
1073100,6
1073120,11
1073140,17
1073160,23
1073180,31
1073200,40
1073220,48
1073240,54
1073260,57
1073280,58
1073320,56
1073340,51
1073360,43
1073380,35
1073400,26
1073420,19
1073440,11
1073460,6
1073480,3
1073500,2
1073520,1
1073580,5
1073600,8
1073620,13
1073640,19
1073660,26
1073680,34
1073700,42
1073720,49
1073740,53
1073760,55
1073820,52
1073840,45
1073860,37
1073880,28
1073900,20
1073920,12
1073940,7
1073960,3
1073980,1
1074080,6
1074100,10
1074120,16
1074140,23
1074160,30
1074180,39
1074200,47
1074220,53
1074240,56
1074260,57
1074300,54
1074320,48
1074340,39
1074360,29
1074380,20
1074400,11
1074420,6
1074440,1
1074500,0
1074579,0
1074580,5
1074600,10
1074620,16
1074640,23
1074660,33
1074680,43
1074700,51
1074720,56
1074740,58
1074800,53
1074820,45
1074840,34
1074860,22
1074880,11
1074900,5
1074920,0
1084739,0
1084740,11
1084760,15
1084780,21
1084800,27
1084820,33
1084840,39
1084860,45
1084880,49
1084900,50
1084960,49
1084980,43
1085000,33
1085020,25
1085040,18
1085060,13
1085080,7
1085100,4
1085120,2
1085220,6
1085240,9
1085260,15
1085280,21
1085300,29
1085320,38
1085340,48
1085360,55
1085380,58
1085400,59
1085440,57
1085460,52
1085480,44
1085500,36
1085520,29
1085540,21
1085560,15
1085580,10
1085600,6
1085620,5
1085640,4
1085660,3
1085720,6
1085740,10
1085760,17
1085780,25
1085800,35
1085820,47
1085840,55
1085860,60
1085880,61
1085940,57
1085960,50
1085980,43
1086000,34
1086020,25
1086040,18
1086060,11
1086080,6
1086100,4
1086120,3
1086140,2
1086200,4
1086220,8
1086240,14
1086260,20
1086280,28
1086300,37
1086320,46
1086340,53
1086360,57
1086380,58
1086440,54
1086460,47
1086480,38
1086500,30
1086520,22
1086540,15
1086560,9
1086580,6
1086600,4
1086700,7
1086720,11
1086740,17
1086760,23
1086780,31
1086800,39
1086820,47
1086840,53
1086860,56
1086880,57
1086920,56
1086940,51
1086960,43
1086980,34
1087000,25
1087020,17
1087040,10
1087060,6
1087080,4
1087100,3
1087180,6
1087200,10
1087220,16
1087240,22
1087260,30
1087280,39
1087300,47
1087320,53
1087340,55
1087360,56
1087400,54
1087420,48
1087440,40
1087460,31
1087480,23
1087500,16
1087520,10
1087540,6
1087560,3
1087600,2
1087660,6
1087680,10
1087700,16
1087720,22
1087740,30
1087760,39
1087780,48
