Time (s),Depth (cm)
26.997,2.52
27.0506,4.83
27.2147,2.04
27.2683,1.02
27.3254,0.8
27.3801,0.43
27.4362,0.13
27.5441,0.55
27.5975,1.6
27.659,4.36
27.7122,4.83
27.8408,2.09
27.8973,1.02
27.951,0.67
28.007,0.1
28.1709,0.68
28.2273,1.48
28.2806,3.51
28.3366,3.97
28.4445,3.04
28.4985,1.43
28.5549,0.87
28.6083,0.39
28.6646,0.09
28.7975,0.33
28.8512,1.11
28.9127,2.4
28.9659,3.7
29.0262,3.74
29.1412,1.9
29.1946,0.98
29.2566,0.73
29.3098,0.14
29.4848,1.03
29.5384,4.09
29.6248,4.54
29.6783,4.59
29.7331,2.34
29.7875,1.16
29.8442,0.79
29.8978,0.19
29.9521,0.13
30.0599,0.28
30.1139,1.06
30.1709,2.69
30.2258,4.46
30.3336,3.87
30.3913,1.73
30.4446,0.79
30.5361,0.08
30.7053,0.31
30.7656,1.27
30.8191,3.31
30.8803,4.44
30.934,4.49
30.9968,2.66
31.0502,1.21
31.112,0.76
31.1656,0.06
31.3422,0.6
31.4154,1.75
31.4717,3.91
31.5251,4.12
31.5903,3.76
31.6438,1.86
31.6999,1.01
31.7536,0.66
31.8079,0.06
31.9712,0.51
32.0325,1.46
32.0861,3.54
32.1485,3.83
32.2642,1.69
32.3368,0.93
32.3936,0.73
32.4478,0.22
32.5589,0.84
32.6163,1.86
32.6697,3.79
32.778,3.86
32.8344,1.87
32.8881,0.89
32.9471,0.32
33.0005,0.08
33.1177,0.47
33.1791,1.64
33.2487,3.78
33.3056,3.96
33.3595,4.0
33.4145,1.9
33.468,0.99
33.5243,0.59
33.5784,0.06
33.6888,0.29
33.745,1.13
33.7985,2.69
33.8532,3.77
33.9078,3.85
33.9654,2.6
34.0188,1.13
34.0824,0.65
34.1541,0.08
34.2623,0.26
34.3279,1.15
34.3813,3.23
34.4428,4.46
34.4963,4.5
34.5598,2.25
34.6137,1.01
34.6769,0.82
34.7939,0.48
34.8473,0.69
34.9091,1.82
34.9626,4.25
35.0986,3.37
35.1533,1.42
35.2072,0.75
35.2651,0.1
35.3188,0.06
35.4868,0.74
35.5406,1.94
35.5949,4.22
35.6506,4.38
35.708,3.22
35.7616,1.23
35.8287,0.75
35.882,0.06
36.079,0.61
36.1334,1.62
36.1903,4.11
36.2438,4.4
36.2985,3.75
36.3523,1.62
36.4094,0.85
36.4633,0.45
36.5282,0.03
36.6479,0.4
36.7017,1.23
36.7632,3.56
36.8367,3.96
36.8935,3.81
36.9472,1.82
37.0017,0.99
37.0558,0.77
37.112,0.12
37.22,0.17
37.274,0.83
37.3287,1.8
37.3821,4.0
37.4368,4.14
37.4917,3.49
37.5516,1.51
37.6051,0.81
37.6685,0.15
37.7999,0.27
37.854,0.91
37.9087,2.0
37.9622,3.9
38.0724,3.48
38.1293,1.58
38.183,0.88
38.2376,0.61
38.2915,0.25
38.4036,0.55
38.4607,1.34
38.5143,3.53
38.576,4.1
38.6495,3.44
38.706,1.55
38.7595,0.84
38.8271,0.75
38.8812,0.13
38.9965,0.73
39.058,1.7
39.1115,4.03
39.1742,4.13
39.2278,3.37
39.2901,1.45
39.3459,0.92
39.4049,0.88
39.6149,1.65
39.6703,3.16
39.7271,3.83
39.8352,2.96
39.89,1.4
39.946,0.89
39.9994,0.67
40.0555,0.26
40.2243,0.8
40.2864,1.61
