"time","depth"
"20.9804","1.34"
"21.0428","3.73"
"21.0962","3.86"
"21.1725","2.12"
"21.2265","0.96"
"21.291","0.07"
"21.4201","1.15"
"21.4756","2.74"
"21.5362","4.08"
"21.5898","2.99"
"21.6762","1.75"
"21.7313","0.68"
"21.7859","0.07"
"21.8988","0.63"
"21.9544","1.76"
"22.0097","3.96"
"22.0691","3.8"
"22.124","2.53"
"22.1788","1.34"
"22.2359","0.07"
"22.3518","0.42"
"22.4054","1.45"
"22.4694","2.97"
"22.5475","3.25"
"22.6578","2.37"
"22.7148","1.12"
"22.7686","0.07"
"22.8779","0.19"
"22.9329","0.74"
"22.9865","1.7"
"23.0433","3.56"
"23.0973","3.47"
"23.1545","2.28"
"23.2088","1.32"
"23.2655","0.31"
"23.3195","0.07"
"23.3742","0.15"
"23.4478","0.93"
"23.5043","2.25"
"23.5579","3.62"
"23.6125","3.34"
"23.6666","2.28"
"23.7242","1.3"
"23.7778","0.3"
"23.8325","0.07"
"23.9421","0.35"
"23.9963","1.32"
"24.0589","2.88"
"24.1124","3.47"
"24.1742","2.86"
"24.2285","1.71"
"24.2919","0.44"
"24.3596","0.07"
"24.4707","0.12"
"24.5283","1.06"
"24.5821","2.82"
"24.6404","3.8"
"24.6957","3.06"
"24.7523","1.84"
"24.8073","0.89"
"24.8641","0.07"
"24.977","0.35"
"25.0326","1.54"
"25.0919","3.82"
"25.1452","3.63"
"25.2081","2.06"
"25.2815","0.92"
"25.3392","0.07"
"25.5125","0.85"
"25.5671","2.2"
"25.621","3.69"
"25.6778","3.51"
"25.7317","2.24"
"25.7863","1.09"
"25.8399","0.07"
"26.0029","0.69"
"26.0633","2.21"
"26.1252","3.6"
"26.2128","2.41"
"26.2696","1.28"
"26.323","0.07"
"26.495","0.64"
"26.5489","1.9"
"26.61","3.78"
"26.6639","3.51"
"26.7268","2.39"
"26.7806","1.17"
"26.8436","0.07"
"27.0127","1.27"
"27.0951","3.49"
"27.1492","3.87"
"27.2041","2.99"
"27.258","1.69"
"27.3145","0.54"
"27.3679","0.07"
"27.4777","0.29"
"27.5322","1.23"
"27.586","3.25"
"27.6429","3.81"
"27.6982","2.95"
"27.7602","1.94"
"27.8136","0.98"
"27.8753","0.07"
"28.0659","0.94"
"28.1277","2.81"
"28.1815","3.79"
"28.2432","2.88"
"28.2972","1.75"
"28.3535","0.68"
"28.4072","0.07"
"28.5226","0.24"
"28.5846","1"
"28.6384","2.78"
"28.7017","3.9"
"28.7557","3.63"
"28.8189","2.17"
"28.9024","1"
"28.9594","0.07"
"29.1247","0.86"
"29.1812","2.33"
"29.2362","3.89"
"29.2937","3.56"
"29.3476","2.15"
"29.4091","1.03"
"29.4626","0.07"
"29.6415","0.56"
"29.6952","2.84"
"29.7809","3.74"
"29.8347","3.19"
"29.8909","2.09"
"29.9444","0.98"
"29.9991","0.07"
"30.1636","0.85"
"30.218","2.17"
"30.2715","3.89"
"30.3261","3.63"
"30.3797","2.47"
"30.4358","1.33"
"30.4898","0.07"
"30.5975","0.32"
"30.6835","1.2"
"30.7368","3.15"
"30.7997","3.9"
"30.8533","3.33"
"30.9152","2.08"
"30.9687","1"
"31.0279","0.07"
"31.1582","0.11"
"31.2116","1.06"
"31.2723","2.64"
"31.3263","3.8"
"31.3828","3.4"
"31.4363","2.34"
"31.4981","1.17"
"31.5667","0.24"
"31.6231","0.07"
"31.7351","0.43"
"31.789","1.53"
"31.8437","3.1"
"31.8971","3.73"
"31.9519","2.9"
"32.0065","1.85"
"32.0628","0.95"
"32.1164","0.07"
"32.2793","0.3"
"32.3329","1.22"
"32.389","3.28"
"32.4653","3.47"
"32.5215","2.79"
"32.5756","1.76"
"32.6303","0.82"
"32.6837","0.07"
"32.792","0.82"
"32.8483","2.41"
"32.9098","3.81"
"32.9673","3.57"
"33.0209","2.82"
"33.0775","1.78"
"33.1326","0.79"
"33.1901","0.07"
"33.307","0.69"
"33.3796","1.86"
"33.4358","3.27"
"33.4894","3.6"
"33.5438","3.48"
"33.598","2.36"
"33.6526","1.26"
"33.7076","0.44"
"33.8172","1.38"
"33.8733","3.47"
"33.927","3.95"
"33.9815","3.5"
"34.0354","2.48"
"34.092","1.4"
"34.1456","0.15"
"34.2088","0.07"
"34.2833","0.47"
"34.3381","1.66"
"34.3916","4.02"
"34.4558","3.8"
