"depth","time"
"-3.78","25.5383"
"-1.31","25.5936"
"-0.08","25.6508"
"-0.15","25.7046"
"-1.84","25.7676"
"-5.03","25.8248"
"-2.15","25.9523"
"-0.08","26.0166"
"-0.13","26.0755"
"-1.9","26.1349"
"-5.08","26.1907"
"-5.04","26.2514"
"-2.06","26.3051"
"-0.08","26.3688"
"-1.57","26.4833"
"-5.06","26.5382"
"-3.17","26.6522"
"-0.72","26.7123"
"-0.08","26.7658"
"-2.01","26.8254"
"-5.07","26.9156"
"-4.68","26.9776"
"-1.67","27.0313"
"-0.08","27.0982"
"-0.17","27.1541"
"-2","27.2158"
"-5.06","27.2694"
"-4.89","27.3312"
"-1.99","27.3857"
"-0.08","27.443"
"-1.74","27.5591"
"-5.08","27.6128"
"-4.82","27.6736"
"-1.59","27.7327"
"-0.08","27.7959"
"-1.34","27.8504"
"-4.97","27.9464"
"-5.02","28.0015"
"-2.17","28.0673"
"-0.08","28.1212"
"-2.13","28.2381"
"-5.07","28.3017"
"-3.29","28.3609"
"-0.6","28.4246"
"-0.08","28.4825"
"-1.53","28.5499"
"-5.09","28.6035"
"-4.18","28.6668"
"-1.33","28.7209"
"-0.08","28.7805"
"-0.44","28.8353"
"-3.9","28.8967"
"-5.06","28.9717"
"-2.36","29.0284"
"-0.08","29.0859"
"-1.8","29.205"
"-5.09","29.2691"
"-3.9","29.3255"
"-1.31","29.3862"
"-0.08","29.4429"
"-0.57","29.5016"
"-3.21","29.5578"
"-5.05","29.6193"
"-2.4","29.6731"
"-0.14","29.7337"
"-0.1","29.7872"
"-1.78","29.8492"
"-4.83","29.9032"
"-1.33","30.0097"
"-0.08","30.0731"
"-0.91","30.128"
"-4.59","30.1891"
"-5.02","30.2431"
"-1.78","30.3047"
"-0.08","30.3587"
"-0.45","30.4208"
"-3.51","30.4745"
"-5.05","30.538"
"-2.27","30.5916"
"-0.07","30.6537"
"-0.22","30.7128"
"-4.03","30.7961"
"-3.86","30.8547"
"-0.08","30.9424"
"-0.59","31.0384"
"-3.44","31.0948"
"-5.05","31.1525"
"-2.14","31.2183"
"-0.08","31.2728"
"-0.22","31.3371"
"-2.9","31.3908"
"-5.06","31.4601"
"-2.16","31.5178"
"-0.08","31.578"
"-0.34","31.6365"
"-2.64","31.6994"
"-5.06","31.7531"
"-3.07","31.8109"
"-0.42","31.8647"
"-0.08","31.924"
"-3.51","31.9798"
"-5.04","32.0765"
"-2.65","32.1323"
"-0.08","32.2004"
"-0.14","32.2547"
"-2.09","32.3164"
"-5.07","32.3702"
"-3.57","32.4311"
"-0.82","32.4854"
"-0.08","32.5465"
"-1.3","32.6023"
"-5.05","32.6598"
"-4.76","32.7141"
"-1.25","32.7786"
"-0.08","32.8328"
"-1.17","32.8975"
"-5.07","32.9534"
"-4.42","33.0178"
"-0.91","33.0951"
"-0.08","33.1557"
"-1.47","33.2123"
"-5.07","33.2743"
"-4.63","33.3318"
"-1.09","33.3957"
"-0.08","33.4508"
"-1","33.5154"
"-5.06","33.5695"
"-1.76","33.6861"
"-0.08","33.7513"
"-1.08","33.8123"
"-5.07","33.874"
"-1.91","33.9891"
"-0.52","34.0492"
"-3.9","34.1673"
"-5.07","34.2264"
"-1.9","34.2823"
"-0.08","34.3397"
"-0.26","34.3948"
"-2.36","34.4496"
"-5.06","34.5032"
"-2.68","34.5675"
"-0.08","34.6226"
"-1.76","34.7382"
"-5.08","34.7998"
"-4.13","34.8534"
"-1.33","34.9085"
"-0.08","34.9621"
"-0.97","35.0273"
"-5.05","35.0815"
"-2.84","35.184"
"-0.32","35.242"
"-0.08","35.2978"
"-1.94","35.3589"
"-5.08","35.4129"
"-3.79","35.4677"
"-1.04","35.5228"
"-0.08","35.5847"
"-1.28","35.6394"
"-5.06","35.7035"
"-3.46","35.7653"
"-0.49","35.8342"
"-0.27","35.9032"
"-2.61","35.9679"
"-5.05","36.0216"
"-1.25","36.0883"
"-0.08","36.175"
"-0.94","36.2314"
"-4.27","36.2854"
"-5.07","36.34"
"-2.42","36.3983"
"-0.08","36.4623"
"-0.25","36.5174"
"-2.73","36.5817"
"-5.07","36.6379"
"-2.31","36.7059"
"-0.15","36.76"
"-0.11","36.8216"
"-1.76","36.877"
"-5.09","36.9336"
"-3.9","36.988"
"-1.32","37.0506"
"-0.76","37.1103"
"-3.63","37.2098"
"-4.96","37.2638"
"-1.55","37.3303"
"-0.08","37.3846"
"-0.6","37.4411"
"-4.11","37.4973"
"-5.08","37.5543"
"-2.14","37.6081"
"-0.08","37.6679"
"-0.2","37.7236"
"-2.9","37.7883"
"-5.08","37.842"
"-3.76","37.9072"
"-1.09","37.9609"
"-0.08","38.0283"
"-1.63","38.1417"
"-3.94","38.2417"
"-5.09","38.2979"
"-5.05","38.3529"
"-3.62","38.4191"
"-1.54","38.4727"
"-0.09","38.5391"
"-0.26","38.657"
"-1.4","38.7121"
"-3.52","38.7745"
"-5.07","38.8297"
"-4.64","38.8937"
"-2.26","38.9488"
"-0.57","39.0052"
"-0.08","39.061"
"-0.4","39.1223"
"-2.23","39.1766"
"-5.07","39.2649"
"-4.66","39.3826"
"-2.57","39.4366"
"-0.75","39.4976"
"-0.08","39.5515"
"-0.19","39.613"
"-1.31","39.6717"
"-3.07","39.7404"
"-5.07","39.7943"
"-5.12","39.8569"
"-3.57","39.9133"
"-1.41","39.9728"
"-0.08","40.0327"
"-0.71","40.1483"
"-2.43","40.2043"
"-5.07","40.2743"
"-4.09","40.3863"
"-2.01","40.4412"
"-0.27","40.499"
"-0.08","40.5632"
"-0.65","40.6167"
"-1.93","40.6787"
"-5.07","40.7324"
"-3.92","40.8696"
"-1.8","40.9334"
"-0.28","40.9913"
"-0.08","41.0517"
"-0.81","41.1105"
"-2.48","41.1774"
"-5.08","41.2316"
"-5.03","41.3258"
"-2.74","41.382"
"-0.93","41.4442"
"-0.08","41.5014"
"-0.23","41.5583"
"-1.38","41.6141"
"-3.04","41.6769"
"-5.07","41.7358"
"-3.6","41.8526"
"-1.48","41.9131"
"-0.08","41.9681"
"-0.87","42.0838"
"-2.11","42.1458"
"-5.05","42.1994"
"-3.8","42.3398"
"-1.91","42.3948"
"-0.57","42.4512"
"-0.09","42.5132"
"-0.35","42.5684"
"-1.37","42.6346"
"-3.23","42.6888"
"-5.07","42.7492"
"-3.16","42.869"
"-1.25","42.9229"
"-0.08","42.9843"
"-0.8","43.0995"
"-2.14","43.1535"
"-5.06","43.2148"
"-4.86","43.2684"
"-2.68","43.3723"
"-1.25","43.4274"
"-0.09","43.482"
"-0.14","43.544"
"-1.23","43.5998"
"-2.77","43.6673"
"-5.07","43.7209"
"-4.07","43.8373"
"-1.86","43.8981"
"-0.38","43.9521"
"-0.09","44.0134"
"-0.56","44.0675"
"-1.45","44.1282"
"-3.16","44.1817"
"-5.07","44.2433"
"-4.38","44.2983"
"-2.13","44.4011"
"-0.71","44.4571"
"-0.09","44.514"
"-0.46","44.5737"
"-1.59","44.6278"
"-3.42","44.6896"
"-5.08","44.7433"
"-3.09","44.8615"
"-1.12","44.9213"
"-0.08","44.9754"
"-1.12","45.0908"
"-2.48","45.1528"
"-5.05","45.2119"
"-2.69","45.331"
"-1.08","45.4231"
"-0.08","45.4849"
"-0.13","45.5464"
"-1.13","45.6002"
"-2.52","45.6626"
"-5.06","45.7162"
"-5.12","45.7888"
"-2.74","45.8497"
"-0.58","45.9353"
"-0.08","45.9912"
"-0.42","46.054"
"-1.49","46.1077"
"-3.29","46.1663"
"-5.05","46.2207"
"-5.1","46.2859"
"-2.38","46.3393"
"-0.21","46.4356"
"-0.08","46.4911"
"-0.5","46.552"
"-1.89","46.6063"
"-4.28","46.6696"
"-5.05","46.7235"
"-4.84","46.7838"
"-2.37","46.838"
"-0.7","46.8995"
"-0.08","46.9533"
"-0.31","47.0148"
"-1.62","47.0685"
"-3.54","47.1318"
"-5.07","47.1872"
"-2.85","47.3055"
"-0.92","47.367"
"-0.09","47.433"
"-1.06","47.5518"
"-2.46","47.6102"
"-5.06","47.6643"
"-4.57","47.7724"
"-2.11","47.8362"
"-0.13","47.8928"
"-0.08","47.9599"
"-0.66","48.0167"
"-1.71","48.0798"
"-4.15","48.1337"
"-5.08","48.1982"
"-4.59","48.2516"
"-2.34","48.3171"
"-0.08","48.3705"
"-0.71","48.5099"
"-1.86","48.5649"
"-4.17","48.62"
"-5.07","48.6807"
"-5.02","48.7371"
"-2.99","48.802"
"-1.06","48.8561"
"-0.08","48.9186"
"-0.15","48.9721"
"-1.25","49.0378"
"-2.85","49.0919"
"-5.06","49.1535"
"-4.36","49.2703"
"-1.9","49.3245"
"-0.09","49.3862"
"-0.53","49.5301"
"-1.56","49.584"
"-3.32","49.6443"
"-5.07","49.7024"
"-5.1","49.8181"
"-4.39","49.8781"
"-2.82","49.932"
"-1.62","49.9944"
"-0.8","50.0483"
"-0.09","50.1115"
"-0.6","50.2919"
"-1.41","50.3569"
"-2.93","50.4107"
"-5.07","50.4951"
"-5.11","50.6104"
"-4.81","50.6654"
"-3.41","50.7302"
"-2.21","50.7901"
"-1.15","50.8683"
"-0.21","50.9328"
"-0.09","50.9914"
"-0.58","51.1092"
"-1.28","51.1634"
"-2.23","51.218"
"-4.07","51.2727"
"-5.05","51.3333"
"-4.62","51.4483"
"-2.98","51.5284"
"-1.89","51.5859"
"-0.89","51.6395"
"-0.08","51.7009"
"-0.39","51.8719"
"-1","51.9333"
"-1.85","51.9871"
"-3.25","52.0483"
"-5.05","52.102"
"-5.1","52.2138"
"-4.24","52.2766"
"-2.52","52.3322"
"-1.56","52.3955"
"-0.08","52.4494"
"-0.42","52.6521"
"-1.1","52.7072"
"-1.96","52.7693"
"-3.37","52.8252"
"-5.07","52.8825"
"-5.11","53.0022"
"-4.14","53.0582"
"-2.56","53.1216"
"-1.51","53.1752"
"-0.57","53.2362"
"-0.08","53.2899"
"-0.22","53.4072"
"-1.14","53.4666"
"-1.99","53.5529"
"-3.25","53.6106"
"-5.07","53.6654"
"-5.11","53.7842"
"-4.18","53.8448"
"-2.64","53.9011"
"-1.72","53.9621"
"-0.89","54.0158"
"-0.08","54.074"
"-0.13","54.2416"
"-0.67","54.3005"
"-1.37","54.3545"
"-2.28","54.4161"
"-4.36","54.4697"
"-5.03","54.5578"
"-4.93","54.6733"
"-3.42","54.7275"
"-2.15","54.7935"
"-1.26","54.847"
"-0.42","54.9073"
"-0.08","54.961"
"-0.61","55.0762"
"-1.28","55.1379"
"-2.18","55.1914"
