1300,115
1840,111
2320,111
2820,115
3320,120
3820,118
4340,118
4860,118
5360,118
5820,118
6360,120
6880,118
7400,118
7900,116
8420,120
8880,118
9400,120
9920,116
10420,118
10920,118
11440,118
11940,118
12460,118
12980,115
13500,115
14020,114
14500,120
15020,121
16140,-1
17140,-1
18140,-1
19140,-1
20140,-1
21140,-1
22140,-1
23140,-1
24700,120
25140,121
25640,130
26060,132
26540,132
27000,132
27480,126
27940,128
28400,128
28860,132
29320,126
29800,128
30260,130
30740,128
31200,126
31700,123
32160,126
32640,126
33120,128
33620,125
34100,123
34560,123
35040,126
35540,125
36020,123
36520,121
36980,125
37480,121
38620,-1
39620,-1
40620,-1
41620,-1
42620,-1
43620,-1
44620,-1
46020,125
46460,128
46920,128
47360,130
47800,134
48280,134
48740,132
49200,130
49660,130
50120,128
50560,130
51020,130
51520,132
51980,130
52460,126
52920,126
53400,125
53920,125
54400,121
54880,121
55380,121
55840,123
56320,125
56760,126
57240,130
57700,128
58200,128
58680,125
59140,126
60300,-1
61300,-1
62300,-1
63300,-1
64300,-1
65300,-1
66300,-1
67300,-1
68540,136
69000,138
69380,138
69860,138
70300,138
70740,136
71180,136
71620,134
72060,134
72500,132
72940,136
73400,138
73840,134
74280,134
74740,134
75200,134
75640,132
76100,132
76540,132
76940,136
77420,134
77860,138
78360,130
78800,130
79240,126
79720,130
80200,128
80680,132
81820,-1
82820,-1
83820,-1
84820,-1
85820,-1
86820,-1
87820,-1
89660,130
90100,126
90600,128
91040,128
91500,132
91960,128
92420,130
92900,126
93360,128
93820,128
94260,130
94760,130
95220,130
95660,130
96100,130
96580,130
97060,128
97520,128
98000,126
98460,128
98900,132
99320,136
99780,138
100240,132
100680,130
101180,128
101640,126
102100,130
103240,-1
104240,-1
105240,-1
106240,-1
107240,-1
108240,-1
109240,-1
111100,134
111520,132
111980,134
112440,136
112900,134
113340,130
113780,132
114220,134
114720,136
115160,130
115600,130
116040,134
116540,132
116960,130
117440,128
117860,132
118380,132
118820,130
119260,132
119720,130
120160,130
120660,128
121080,130
121560,130
