Time,Depth
46080,7
46100,9
46120,13
46140,18
46160,23
46180,30
46200,39
46220,48
46240,53
46260,54
46300,55
46320,54
46340,49
46360,41
46380,32
46400,24
46420,15
46440,8
46460,5
46480,2
46500,1
46680,6
46700,8
46720,11
46740,16
46760,21
46780,26
46800,33
46820,40
46840,47
46860,50
46880,51
46940,52
46960,48
46980,43
47000,37
47020,31
47040,26
47060,20
47080,15
47100,11
47120,8
47140,6
47160,3
47300,2
48130,0
57119,0
57120,12
57140,17
57160,23
57180,30
57200,36
57220,41
57240,43
57300,44
57380,41
57400,32
57420,23
57440,16
57460,8
57480,2
57500,0
57739,0
57740,1
57760,5
57780,6
57800,8
57820,11
57840,13
57860,17
57880,24
57900,34
57920,45
57940,52
57960,54
58000,55
58040,52
58060,44
58080,35
58100,28
58120,20
58140,13
58160,7
58180,6
58200,3
58220,1
58300,2
58320,4
58340,6
58440,7
58460,8
58480,10
58500,16
58520,22
58540,31
58560,41
58580,49
58600,52
58620,53
58700,52
58720,48
58740,41
58760,33
58780,26
58800,18
58820,10
58840,6
58860,2
58880,0
59019,0
59020,2
59040,3
59060,6
59100,7
59120,9
59140,12
59160,18
59180,26
59200,35
59220,44
59240,50
59260,52
59360,45
59380,36
59400,28
59420,20
59440,12
59460,6
59480,3
59500,2
59520,1
59760,3
59780,6
59800,8
59820,12
59840,19
59860,26
59880,35
59900,43
59920,49
59940,51
60040,46
60060,40
60080,32
60100,24
60120,14
60140,6
60160,1
60180,0
60359,0
60360,3
60380,6
60420,7
60440,8
60460,11
60480,16
60500,22
60520,30
60540,39
60560,46
60580,48
60600,49
60680,42
60700,33
60720,24
60740,16
60760,9
60780,6
60800,2
60820,1
60960,0
60999,0
61000,1
61020,2
61040,3
61060,6
61100,8
61120,11
61140,17
61160,24
61180,32
61200,41
61220,46
61240,48
61260,49
61340,44
61360,36
61380,29
61400,21
61420,14
61440,8
61460,4
61480,2
61500,1
61740,2
61760,5
61780,6
61800,8
61820,13
61840,19
61860,26
61880,35
61900,42
61920,47
61940,48
62040,43
62060,36
62080,28
62100,21
62120,13
62140,6
62160,2
62180,1
62200,0
62399,0
62400,3
62420,6
62460,8
62480,11
62500,15
62520,21
62540,29
62560,38
62580,46
62600,50
62660,51
62700,47
62720,40
62740,31
62760,24
62780,16
62800,9
62820,4
62840,1
62860,0
63079,0
63080,6
63100,8
63120,12
63140,17
63160,21
63180,27
63200,33
63220,41
63240,48
63260,51
63340,49
63360,41
63380,33
63400,25
63420,17
63440,10
63460,6
63480,2
63500,1
63520,0
63679,0
63680,1
63700,3
63720,4
63740,6
63780,7
63800,9
63820,12
63840,17
63860,25
63880,35
63900,45
63920,52
63940,53
63980,54
64020,50
64040,42
64060,32
64080,23
64100,14
64120,7
64140,3
64160,1
64180,0
64299,0
64300,1
64340,2
64360,3
64380,4
64400,6
64440,7
64460,9
64480,12
64500,18
64520,24
64540,32
64560,41
64580,47
64600,50
64680,49
64700,43
64720,35
64740,27
64760,20
64780,12
64800,6
64820,4
64840,2
64860,1
64960,0
65039,0
65040,1
65060,2
65080,4
65100,6
65120,8
65140,11
65160,17
65180,22
65200,30
65220,38
65240,45
65260,49
65280,50
65300,51
65360,50
65380,46
65400,40
65420,34
65440,27
65460,19
65480,11
65500,6
65520,3
65540,1
65560,0
65679,0
65680,1
65700,3
65720,5
65740,6
65760,7
65780,8
65800,10
65820,13
65840,19
65860,25
65880,33
65900,43
65920,50
65940,53
65960,54
66040,51
66060,45
66080,38
66100,31
66120,25
66140,19
66160,13
66180,8
66200,6
66240,4
66260,3
66380,4
66400,6
66460,7
66480,8
66500,11
66520,16
66540,21
66560,29
66580,37
66600,45
66620,51
66640,53
66720,51
66740,45
66760,37
66780,30
66800,23
66820,16
66840,10
66860,6
66880,5
66900,3
66920,2
66960,1
67040,2
67060,3
67100,4
67120,6
67160,7
67180,9
67200,13
67220,18
67240,24
67260,32
67280,40
67300,46
67320,49
67380,50
67420,46
67440,40
67460,34
67480,27
67500,20
67520,14
67540,8
67560,6
67580,4
67600,2
67620,1
67760,2
67780,3
67800,6
67840,8
67860,12
67880,18
67900,26
67920,34
67940,43
67960,49
67980,51
68080,46
68100,39
68120,31
68140,24
68160,16
68180,10
68200,6
68220,5
68240,2
68260,1
68420,2
68440,4
68460,6
68480,7
68500,10
68520,16
68540,22
68560,30
68580,39
68600,46
68620,50
68640,51
68720,47
68740,40
68760,31
68780,23
68800,16
68820,8
68840,6
68860,1
68880,0
69159,0
69160,4
69180,6
69200,9
69220,13
69240,19
69260,25
69280,33
69300,41
69320,47
69340,50
69420,45
69440,36
69460,26
69480,17
69500,8
69520,3
69540,0
69879,0
69880,2
69900,6
69920,8
69940,11
69960,16
69980,22
70000,30
70020,38
70040,44
70060,47
70120,48
70140,47
70160,42
70180,33
70200,24
70220,17
70240,9
70260,6
70280,2
70300,1
70320,0
70539,0
70540,3
70560,6
70580,7
70600,9
70620,11
70640,15
70660,21
70680,30
70700,38
70720,46
70740,51
70840,46
70860,38
70880,29
70900,20
70920,12
70940,7
70960,5
70980,2
71000,1
71240,2
71260,5
71280,6
71300,9
71320,13
71340,20
71360,27
71380,35
71400,43
71420,48
71440,51
71520,50
71540,44
71560,36
71580,28
71600,20
71620,13
71640,7
71660,5
71680,1
71700,0
71959,0
71960,3
71980,6
72000,9
72020,13
72040,20
72060,27
72080,35
72100,42
72120,47
72140,49
72220,45
72240,36
72260,26
72280,18
72300,10
72320,6
72340,1
72380,0
72679,0
72680,1
72700,6
72720,7
72740,10
72760,15
72780,22
72800,29
72820,36
72840,42
72860,46
72880,47
72960,43
72980,35
73000,26
73020,18
73040,10
73060,6
73080,2
73100,1
73380,4
73400,7
73420,10
73440,13
73460,18
73480,23
73500,30
73520,37
73540,43
73560,47
73580,48
73620,49
73660,47
73680,41
73700,33
73720,25
73740,17
73760,10
73780,6
73800,3
73820,1
74120,6
74140,9
74160,13
74180,18
74200,24
74220,32
74240,39
74260,45
74280,49
74300,50
74380,47
74400,41
74420,34
74440,27
74460,20
74480,12
74500,7
74520,6
74540,2
74560,1
74840,2
74860,6
74880,10
74900,15
74920,21
74940,27
74960,34
74980,40
75000,45
75020,47
75080,48
75100,46
75120,40
75140,31
75160,23
75180,15
75200,8
75220,4
75240,1
75520,6
75540,7
75560,10
75580,13
75600,18
75620,24
75640,30
75660,38
75680,44
75700,47
75720,48
75780,49
75800,48
75820,44
75840,37
75860,30
75880,22
75900,15
75920,9
75940,6
75960,3
75980,1
76000,0
76179,0
76180,1
76200,5
76220,6
76240,8
76260,12
76280,17
76300,23
76320,31
76340,39
76360,45
76380,50
76400,51
76480,50
76500,44
76520,36
76540,28
76560,20
76580,12
76600,6
76620,3
76640,1
76880,0
76919,0
76920,2
76940,6
76960,10
76980,13
77000,18
77020,23
77040,29
77060,36
77080,43
77100,49
77120,51
77140,52
77220,49
77240,44
77260,39
77280,34
77300,29
77320,24
77340,19
77360,15
77380,11
77400,8
77420,7
77440,6
77480,3
77500,2
77520,1
78030,0
88019,0
88020,10
88060,11
88080,12
88100,13
88120,17
88140,21
88160,28
88180,36
88200,43
88220,49
88240,51
88260,52
88380,49
88400,43
88420,37
88440,30
88460,24
88480,17
88500,11
88520,7
88540,6
88560,4
88580,3
88720,5
88740,6
88760,7
88780,9
88800,12
88820,17
88840,23
88860,31
88880,39
88900,46
88920,50
88980,51
89020,49
89040,43
89060,37
89080,31
89100,25
89120,19
89140,13
89160,9
89180,7
89200,6
89220,5
89280,4
89360,3
89460,5
89480,6
89500,8
89520,10
89540,13
89560,18
89580,23
89600,31
89620,39
89640,47
89660,51
89760,45
89780,37
89800,28
89820,20
89840,12
89860,7
89880,5
89900,3
89920,2
89960,1
90020,2
90060,3
90120,4
90140,5
90160,6
90200,8
90220,12
90240,17
90260,25
90280,33
90300,41
90320,47
90340,50
90440,44
90460,36
90480,28
90500,20
90520,13
90540,7
90560,5
90580,3
90600,1
90760,2
90780,3
90800,5
90820,6
90840,7
90860,8
90880,11
90900,14
90920,18
90940,23
90960,30
90980,37
91000,42
91020,45
91040,46
91120,44
91140,38
91160,30
91180,23
91200,16
91220,10
91240,6
91260,5
91280,2
91300,1
91440,3
91460,6
91480,7
91500,9
91520,11
91540,14
91560,17
91580,22
91600,28
91620,34
91640,40
91660,45
91680,46
91720,47
91760,45
91780,38
91800,30
91820,21
91840,14
91860,8
91880,6
91900,3
91920,2
91940,1
92060,3
92080,5
92100,6
92120,9
92140,12
92160,18
92180,25
92200,34
92220,42
92240,48
92260,50
92320,51
92340,50
92360,45
92380,37
92400,29
92420,21
92440,13
92460,7
92480,4
92500,1
92520,0
92639,0
92640,1
92660,3
92680,6
92700,8
92720,11
92740,16
92760,22
92780,30
92800,39
92820,47
92840,51
92860,52
92940,48
92960,41
92980,34
93000,28
93020,20
93040,13
93060,8
93080,6
93100,3
93120,1
93260,2
93280,4
93300,6
93340,8
93360,11
93380,15
93400,21
93420,29
93440,37
93460,43
93480,46
93500,47
93580,42
93600,34
93620,27
93640,20
93660,12
93680,7
93700,4
93720,1
93740,0
93899,0
93900,1
93920,3
93940,5
93960,6
93980,9
94000,14
94020,20
94040,27
94060,34
94080,41
94100,45
94120,46
94160,47
94200,44
94220,38
94240,31
94260,24
94280,18
94300,12
94320,7
94340,5
94360,3
94380,1
94500,4
94520,6
94540,7
94560,10
94580,13
94600,18
94620,24
94640,32
94660,40
94680,45
94700,47
94720,48
94800,43
94820,36
94840,29
94860,22
94880,15
94900,9
94920,6
94940,3
94960,1
95120,5
95140,6
95160,9
95180,13
95200,18
95220,25
95240,33
95260,41
95280,47
95300,51
95360,52
95400,47
95420,40
95440,32
95460,24
95480,16
95500,10
95520,6
95540,3
95560,1
95700,0
95719,0
95720,1
95740,3
95760,6
95780,7
95800,11
95820,16
95840,23
95860,31
95880,39
95900,45
95920,47
95940,48
96000,46
96020,39
96040,31
96060,23
96080,16
96100,9
96120,6
96140,3
96160,1
96280,0
96299,0
96300,1
96320,3
96340,6
96360,7
96380,11
96400,16
96420,24
96440,32
96460,41
96480,47
96500,50
96580,49
96600,43
96620,35
96640,28
96660,20
96680,13
96700,7
96720,6
96740,3
96760,1
96900,3
96920,6
96940,8
96960,11
96980,17
97000,25
97020,33
97040,42
97060,48
97080,51
97140,52
97160,51
97180,46
97200,39
97220,31
97240,24
97260,16
97280,9
97300,5
97320,1
97340,0
97459,0
97460,1
97480,3
97500,6
97520,8
97540,11
97560,17
97580,23
97600,31
97620,39
97640,46
97660,50
97680,51
97720,52
97760,48
97780,42
97800,34
97820,27
97840,19
97860,12
97880,7
97900,5
97920,3
97940,1
98080,3
98100,5
98120,6
98140,8
98160,12
98180,17
98200,24
98220,32
98240,41
98260,48
98280,51
98300,52
98380,49
98400,42
98420,35
98440,27
98460,20
98480,12
98500,7
98520,5
98540,2
98560,1
98680,3
98700,5
98720,6
98740,9
98760,12
98780,17
98800,23
98820,30
98840,38
98860,45
98880,50
98980,45
99000,37
99020,29
99040,22
99060,15
99080,9
99100,6
99120,4
99140,2
99160,1
99320,3
99340,6
99360,8
99380,11
99400,16
99420,22
99440,30
99460,38
99480,45
99500,49
99520,50
99600,47
99620,41
99640,34
99660,27
99680,21
99700,14
99720,8
99740,6
99760,3
99780,1
99920,3
99940,6
99960,8
99980,12
100000,18
100020,25
100040,33
100060,42
100080,49
100100,51
100140,52
100180,50
100200,45
100220,37
100240,28
100260,21
100280,13
100300,7
100320,6
100340,3
100360,1
100500,2
100520,4
100540,6
100560,8
100580,12
100600,17
100620,25
100640,33
100660,41
100680,48
100700,50
100720,51
100780,49
100800,42
100820,34
100840,27
100860,19
100880,13
100900,8
100920,6
100940,3
100960,1
101100,3
101120,5
101140,7
101160,9
101180,13
101200,19
101220,27
101240,35
101260,43
101280,49
101300,51
101320,52
101380,50
101400,43
101420,35
101440,27
101460,19
101480,11
101500,6
101520,4
101540,2
101560,1
101680,2
101700,5
101720,7
101740,11
101760,16
101780,22
101800,30
101820,39
101840,46
101860,50
101880,51
101900,52
101960,47
101980,40
102000,32
102020,25
102040,18
102060,11
102080,6
102100,3
102120,1
102140,0
102319,0
102320,5
102340,7
102360,12
102380,18
102400,25
102420,34
102440,42
102460,48
102480,50
102560,49
102580,43
102600,35
102620,28
102640,21
102660,14
102680,9
102700,6
102720,5
102740,3
102760,1
102900,4
102920,6
102940,8
