Time,Depth
6157420,9
6157440,12
6157460,16
6157480,22
6157500,29
6157520,38
6157540,47
6157560,53
6157580,55
6157640,51
6157660,44
6157680,35
6157700,25
6157720,17
6157740,12
6157760,8
6157780,6
6157900,8
6157920,10
6157940,12
6157960,14
6157980,17
6158000,21
6158020,28
6158040,37
6158060,46
6158080,52
6158100,54
6158160,49
6158180,42
6158200,33
6158220,24
6158240,16
6158260,11
6158280,7
6158300,6
6158420,8
6158440,10
6158460,12
6158480,15
6158500,18
6158520,23
6158540,31
6158560,42
6158580,51
6158600,55
6158660,51
6158680,43
6158700,34
6158720,23
6158740,14
6158760,8
6158780,3
6158800,1
6158980,2
6159500,1
6159610,0
6169599,0
6169600,13
6169620,17
6169640,22
6169660,29
6169680,37
6169700,45
6169720,50
6169740,53
6169760,54
6169800,53
6169820,46
6169840,37
6169860,28
6169880,20
6169900,14
6169920,10
6169940,8
6169960,6
6170000,5
6170080,6
6170120,7
6170140,10
6170160,13
6170180,18
6170200,24
6170220,32
6170240,41
6170260,48
6170280,52
6170300,54
6170340,53
6170360,46
6170380,36
6170400,27
6170420,18
6170440,12
6170460,8
6170480,6
6170500,3
6170620,6
6170660,8
6170680,10
6170700,14
6170720,18
6170740,24
6170760,31
6170780,40
6170800,46
6170820,50
6170840,51
6170900,45
6170920,37
6170940,28
6170960,20
6170980,13
6171000,9
6171020,6
6171040,4
6171100,3
6171200,4
6171220,6
6171240,8
6171260,11
6171280,16
6171300,22
6171320,30
6171340,38
6171360,44
6171380,48
6171400,50
6171440,49
6171460,43
6171480,34
6171500,25
6171520,17
6171540,11
6171560,7
6171580,6
6171600,4
6171760,5
6171780,6
6171800,8
6171820,11
6171840,16
6171860,21
6171880,29
6171900,37
6171920,43
6171940,47
6171960,49
6172000,48
6172020,42
6172040,33
6172060,25
6172080,17
6172100,12
6172120,8
6172140,6
6172380,10
6172400,14
6172420,20
6172440,27
6172460,35
6172480,41
6172500,45
6172520,47
6172580,42
6172600,33
6172620,25
6172640,18
6172660,12
6172680,9
6172700,7
6172720,6
6172900,7
6172920,9
6172940,13
6172960,18
6172980,24
6173000,32
6173020,40
6173040,46
6173060,49
6173120,46
6173140,39
6173160,31
6173180,23
6173200,16
6173220,11
6173240,8
6173260,6
6173460,8
6173480,11
6173500,15
6173520,20
6173540,27
6173560,35
6173580,43
6173600,48
6173620,49
6173640,50
6173660,49
6173680,45
6173700,36
6173720,28
6173740,20
6173760,14
6173780,10
6173800,8
6173820,6
6174040,8
6174060,11
6174080,16
6174100,21
6174120,29
6174140,36
6174160,43
6174180,47
6174200,49
6174260,44
6174280,36
6174300,28
6174320,21
6174340,15
6174360,11
6174380,9
6174400,7
6174420,6
6174560,8
6174580,10
6174600,13
6174620,18
6174640,23
6174660,31
6174680,40
6174700,45
6174720,49
6174780,48
6174800,43
6174820,35
6174840,27
6174860,20
6174880,14
6174900,10
6174920,7
6174940,6
6175100,7
6175120,9
6175140,11
6175160,14
6175180,18
6175200,23
6175220,30
6175240,38
6175260,44
6175280,47
6175300,48
6175340,47
6175360,41
6175380,33
6175400,24
6175420,17
6175440,12
6175460,8
6175480,6
6175660,7
6175680,9
6175700,12
6175720,15
6175740,20
6175760,27
6175780,34
6175800,42
6175820,47
6175840,49
6175900,45
6175920,39
6175940,30
6175960,23
6175980,16
6176000,11
6176020,8
6176040,6
6176240,8
6176260,10
6176280,12
6176300,16
6176320,21
6176340,28
6176360,35
6176380,42
6176400,46
6176420,48
6176480,45
6176500,38
6176520,30
6176540,22
6176560,15
6176580,11
6176600,8
6176620,6
6176800,9
6176820,11
6176840,15
6176860,19
6176880,24
6176900,31
6176920,38
6176940,45
6176960,48
6176980,49
6177020,47
6177040,41
6177060,33
6177080,25
6177100,18
6177120,12
6177140,8
6177160,6
6177320,7
6177340,9
6177360,11
6177380,13
6177400,17
6177420,21
6177440,28
6177460,36
6177480,43
6177500,47
6177520,49
6177580,44
6177600,36
6177620,28
6177640,20
6177660,14
6177680,10
6177700,7
6177720,6
6177840,5
6177860,6
6177900,8
6177920,11
6177940,15
6177960,20
6177980,26
6178000,32
6178020,39
6178040,44
6178060,46
6178120,43
6178140,35
6178160,26
6178180,18
6178200,11
6178220,7
6178240,4
6178440,6
6178460,7
6178480,10
6178500,15
6178520,20
6178540,27
6178560,34
6178580,42
6178600,48
6178620,50
6178640,51
6178680,47
6178700,39
6178720,29
6178740,20
6178760,12
6178780,8
6178800,4
6178820,2
6178960,4
6178980,6
6179000,8
6179020,10
6179040,13
6179060,18
6179080,24
6179100,31
6179120,39
6179140,45
6179160,49
6179220,45
6179240,38
6179260,28
6179280,20
6179300,12
6179320,8
6179340,6
6179360,3
6179500,5
6179520,6
6179540,7
6179560,10
6179580,13
6179600,18
6179620,23
6179640,30
6179660,39
6179680,45
6179700,49
6179720,50
6179760,48
6179780,42
6179800,33
6179820,25
6179840,17
6179860,11
6179880,8
6179900,6
6179920,4
6180080,6
