-20,0
-1,0
0,3
20,20
40,26
60,33
80,39
100,42
120,43
160,44
240,43
260,40
280,31
300,22
320,15
340,10
360,7
380,6
400,4
420,3
460,4
480,6
500,8
520,12
540,17
560,25
580,35
600,41
620,43
660,44
760,43
780,42
800,37
820,26
840,16
860,10
880,7
900,4
920,2
960,1
1000,2
1020,4
1040,6
1060,8
1080,13
1100,16
1120,21
1140,27
1160,34
1180,39
1200,41
1220,42
1240,43
1320,42
1340,40
1360,32
1380,22
1400,15
1420,10
1440,6
1460,3
1480,2
1580,3
1600,4
1620,6
1640,9
1660,14
1680,20
1700,27
1720,35
1740,41
1760,43
1860,41
1880,35
1900,25
1920,17
1940,11
1960,7
1980,6
2000,3
2060,4
2080,6
2100,7
2120,9
2140,13
2160,19
2180,29
2200,39
2220,43
2260,44
2340,43
2360,41
2380,36
2400,25
2420,15
2440,9
2460,6
2480,3
2500,2
2580,3
2600,6
2620,8
2640,13
2660,21
2680,30
2700,39
2720,43
2760,44
2840,43
2860,41
2880,36
2900,25
2920,15
2940,8
2960,3
2980,2
3000,1
3060,2
3100,3
3120,6
3140,9
3160,16
3180,24
3200,32
3220,40
3240,43
3280,44
3340,43
3360,41
3380,35
3400,22
3420,13
3440,6
3460,3
3480,2
3620,3
3640,6
3660,10
3680,18
3700,27
3720,36
3740,42
3760,43
3780,44
3840,43
3860,42
3880,38
3900,27
3920,16
3940,9
3960,6
3980,3
4000,2
4100,3
4120,4
4140,8
4160,15
4180,24
4200,34
4220,42
4240,44
4360,42
4380,37
4400,26
4420,15
4440,8
4460,4
4480,2
4620,3
4640,4
4660,7
4680,12
4700,19
4720,28
4740,37
4760,42
4780,43
4800,44
4880,42
4900,39
4920,31
4940,19
4960,10
4980,6
5000,2
5020,1
5080,2
5140,3
5160,6
5180,12
5200,19
5220,28
5240,37
5260,42
5280,44
5380,43
5400,41
5420,34
5440,21
5460,12
5480,6
5500,3
5520,2
5600,3
5640,4
5660,7
5680,12
5700,19
5720,28
5740,37
5760,42
5780,43
5800,44
5840,43
5880,40
5900,34
5920,24
5940,14
5960,9
5980,6
6000,3
6020,2
6100,3
6120,4
6140,6
6160,8
6180,13
6200,20
6220,28
6240,36
6260,41
6280,43
6320,44
6380,43
6400,41
6420,35
6440,24
6460,13
6480,7
6500,2
6520,1
6660,3
6680,7
6700,12
6720,18
6740,26
6760,34
6780,41
6800,43
6900,41
6920,36
6940,27
6960,17
6980,10
7000,6
7020,2
7040,1
7160,2
7180,6
7200,11
7220,16
7240,22
7260,29
7280,35
7300,41
7320,43
7360,44
7420,43
7440,40
7460,33
7480,22
7500,12
7520,6
7540,2
7560,1
7620,2
7660,3
7680,4
7700,7
7720,12
7740,17
7760,25
7780,33
7800,40
7820,43
7860,44
7920,43
7940,41
7960,36
7980,26
8000,16
8020,9
8040,6
8060,2
8140,3
8160,4
8180,6
8200,10
8220,15
8240,21
8260,30
8280,38
8300,43
8340,44
8440,42
8460,39
8480,29
8500,18
8520,10
8540,6
8560,3
8580,2
8660,4
8680,6
8700,8
8720,12
8740,18
8760,25
8780,33
8800,41
8820,43
8860,44
8900,43
8940,41
8960,35
8980,24
9000,13
9020,6
9040,2
9060,1
9160,2
9180,3
9200,7
9220,12
9240,18
9260,25
9280,33
9300,39
9320,42
9340,43
9360,44
9420,43
9440,41
9460,36
9480,25
9500,15
9520,8
9540,3
9560,2
9580,1
9660,2
9700,4
9720,8
9740,14
9760,20
9780,29
9800,37
9820,42
9840,43
9860,44
9940,43
9960,42
9980,36
10000,24
10020,14
10040,7
10060,3
10080,1
10160,2
10180,3
10200,6
10220,9
10240,15
10260,21
10280,29
10300,36
10320,42
10340,43
10360,44
10440,43
10460,41
10480,36
10500,24
10520,13
10540,6
10560,2
10580,1
10660,2
10680,3
10700,4
10720,7
10740,12
10760,17
10780,24
10800,32
10820,39
10840,42
10860,43
10880,44
10940,43
10960,41
10980,34
11000,23
11020,13
11040,8
11060,4
